Title,Description,Coding,2nd Coding,3rd coding,polarity
Travis Kelce’s Rival Team Uses Hilarious Taylor Swift Troll After Massive Upset on Sunday Night Football,"In NFL Week 8, the Red Sea ventured into Colorado to compete against the Orange team. However, they lost on Sunday. The Denver Broncos secured a victory against the Kansas City Chiefs with massive points. However, that wasn’t enough to upset the Chiefs, as they playfully trolled Patrick Mahomes and his team, especially Travis Kelce…The post Travis Kelce’s Rival Team Uses Hilarious Taylor Swift Troll After Massive Upset on Sunday Night Football appeared first on EssentiallySports.",Meme/Troll,2,2,negative
“Snake in the Grass”: Dave Portnoy Questions Travis Kelce’s Publicist Over Altered Taylor Swift Photo,"Dropping one after the other mega controversy bomb, Dave Portnoy is ready again. The Barstool President who is known for his “controversial bravery,” found his interest around the NFL. His latest tweet stirred the conspicuous Kelce-Swift story yet again. This time he strikes at the Kansas City Chiefs’ Travis Kelce ‘s publicist for her Instagram…The post “Snake in the Grass”: Dave Portnoy Questions Travis Kelce’s Publicist Over Altered Taylor Swift Photo appeared first on EssentiallySports.",Controversy,3,3,negative
Taylor Swift Caught in the Crossfire As Travis Kelce & Co’s Get ‘Kicked’ to the Curb by Skip Bayless,"The pair of Travis Kelce and Taylor Swift are being targeted yet again ahead of the match between the Chiefs and the Broncos. Swift has been spotted at the Chiefs’ games several times this season. Coincidentally, the Kansas City Chiefs have been winning most of their games with Swift in the audience. Taylor Swift has…The post Taylor Swift Caught in the Crossfire As Travis Kelce & Co’s Get ‘Kicked’ to the Curb by Skip Bayless appeared first on EssentiallySports.",Controversy,3,3,negative
"Taylor Swift’s Absence Hits Travis Kelce Really Hard, as NFL Broadcasters Highlight Chiefs’ TE Report Card","In a classic twist of fate, the Denver Broncos are turning the tables in a jaw-dropping showdown against the reigning champs, the Kansas City Chiefs. I mean, who saw this coming? With the Broncos at the bottom of the rankings and the Chiefs ruling the roost, it’s like witnessing a Hollywood underdog story right on…The post Taylor Swift’s Absence Hits Travis Kelce Really Hard, as NFL Broadcasters Highlight Chiefs’ TE Report Card appeared first on EssentiallySports.",Travis Kelce,1,2,neutral
"New Jersey governor spent $12K on stadium events, including a Taylor Swift concert","TRENTON, N.J. (AP) — New Jersey Gov. Phil Murphy tapped into a taxpayer-financed expense account for nearly $12,000 at MetLife Stadium, including almost $1,000 for a Taylor Swift concert in 2018. Murphy has asked the Democratic State Committee to reimburse the state for the purchases, the Politico first reported. The news agency cited records showing […]",Concert/Song,5,5,neutral
"Taylor Swift, Travis Kelce Halloween costume wins friends a top prize: See their rendition of the stars",Florida friends dressed up as Taylor Swift and Travis Kelce for a Halloween costume contest and took home the grand prize. See the pair mimick the iconic duo!,Event/Party,3,3,neutral
"Amid Taylor Swift Controversy, Simone Biles’ Unearthed Picture With Green Bay Fan Base Goes Viral","Fall in Green Bay has been introduced to Simone Biles for the first time, and it’s turning out to be an endearing experience. Owens and Biles have been a beloved couple since they started dating in 2020. Their followers are frequently in awe of the couple’s long-distance updates and support for each other. Initially, Simone…The post Amid Taylor Swift Controversy, Simone Biles’ Unearthed Picture With Green Bay Fan Base Goes Viral appeared first on EssentiallySports.",Controversy,3,3,negative
"Travis Kelce’s Sultry Photoshoot Goes Viral, as Taylor Swift’s Compounding Effect Takes the NFL Star to New Heights","The rumored relationship with Taylor Swift has not just “put Kelce on the map”, but has also boosted his brand value. Ever since the billionaire, singer-songwriter made her appearance at the Arrowhead Stadium for the Chiefs vs. Bears match, the world has gone baffling for Killatrav. And it’s not just Swifties, but brands are looking…The post Travis Kelce’s Sultry Photoshoot Goes Viral, as Taylor Swift’s Compounding Effect Takes the NFL Star to New Heights appeared first on EssentiallySports.",Travis Kelce,1,1,positive
"Taylor Swift & Brittany Mahomes party before Chiefs game, King Charles' reported control over Harry & Meghan","The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.",Event/Party,4,2,neutral
"Patrick Mahomes’ Wife Brittany Dons The Matchmaker’s Hat For Sophie Turner, Is Taylor Swift The Catalyst?","Brittany Mahomes is often spotted at the Kansas City Chiefs games. Coming out with her kids to support her husband Patrick Mahomes as he battles it out with his opponents every week, Brittany is regarded as the ultimate ‘WAG.’ And her latest BFF in the KC Chiefs’ squad is Taylor Swift. This dynamic duo started…The post Patrick Mahomes’ Wife Brittany Dons The Matchmaker’s Hat For Sophie Turner, Is Taylor Swift The Catalyst? appeared first on EssentiallySports.",NFL Game,2,2,neutral
Travis Kelce Asked In Germany If He's 'In Love' With Taylor Swift,"Travis Kelce didn't seem to be too keen on answering questions about Taylor Swift while out in Germany on Friday ... especially when the inquires turned to whether or not he was ""in love"" with his new girlfriend. Kelce sat down with media members…",Travis Kelce,1,1,neutral
Taylor Swift’s ’1989’ Rerecording Breaks Sales Records,"In a record-breaking week, the “Taylor’s Version” of the pop star’s 2014 album sold the equivalent of 1,653,000 copies in the United States.",Concert/Song,5,6,positive
"Taylor Swift Brings Her Eras Tour to Argentina, Shaking El Monumental","The singer-songwriter began her Eras Tour outside North America in the country, where some Swifties camped out for more than five months.",Concert/Song,5,5,neutral
"Taylor Swift’s 1989 (Taylor’s Version) attracted 1,329% more streams than the original version of 1989 in the US last week",What impact will 1989 (Taylor's Version) have on the weekly streams of the original version of the album in future weeks?Source,Concert/Song,5,6,positive
Travis Kelce Misses Eras Tour First Night For Patrick Mahomes’ Project As Taylor Swift Joins From Long Distance To Lend A Helping Hand,"Taylor Swift is touring the world right now and is in Buenos Aires for her international Eras tour. Recently, it was speculated that Travis Kelce will be joining Taylor Swift in Argentina to show his support. Several reports suggested that Kelce would travel south of the equator to cheer Swift during her performances in Buenos…The post Travis Kelce Misses Eras Tour First Night For Patrick Mahomes’ Project As Taylor Swift Joins From Long Distance To Lend A Helping Hand appeared first on EssentiallySports.",Travis Kelce,1,1,neutral
Wife must pay fine to ‘Taylor Swift jar’ if she mentions megastar’s name around husband,"Curse words are commonly forbidden in households, but Taylor Swift's name seems to be the case for this family.",Meme/Troll,3,3,neutral
Travis Kelce will travel to Argentina to see Taylor Swift's 'Eras Tour': report,"Kansas City Chiefs tight end Travis Kelce is going to use the bye week to reportedly head down to Argentina in support of Taylor Swift's ""Eras Tour"" beginning international stops.",Travis Kelce,1,1,neutral
"As Travis Kelce is Set To Attend Taylor Swift’s Eras Tour, Here’s The Estimated Traveling Budget From Kansas City To Argentina","The Kansas City Chiefs have a bye week after defeating the Miami Dolphins in an overseas battle in Germany. Unfortunately, Taylor Swift did not show up in Germany. But maybe, it is Travis Kelce who has to show up for Taylor Swift’s workday. Rumors are floating on the internet, and Kelce keeps dropping hints about…The post As Travis Kelce is Set To Attend Taylor Swift’s Eras Tour, Here’s The Estimated Traveling Budget From Kansas City To Argentina appeared first on EssentiallySports.",Travis Kelce,1,1,neutral
"Hours After Honoring Taylor Swift, Stella McCartney’s Equestrian Passion Fuels Mental Health Advocacy","Recent research has shown that Gen Z is most prone to mental health challenges. The research highlights a distinct difference in self-reported mental health when compared to earlier generations in the same age bracket. Alarmingly, only 15% of Gen Z individuals aged 18-26 were able to describe their current mental health which is a cause…The post Hours After Honoring Taylor Swift, Stella McCartney’s Equestrian Passion Fuels Mental Health Advocacy appeared first on EssentiallySports.",Mental Health,3,3,neutral
Travis Kelce Gains Over 1 Million Instagram Followers Since Taylor Swift’s First Arrowhead Appearance; and the Number Is Set to Rise,"Travis Kelce may have won two Super Bowls, but his popularity is rising as rapidly as Taylor Swift‘s. When the Kansas City Chiefs tight end wanted to meet Tay-Tay at Arrowhead during her Eras Tour, no one anticipated that there would be a rumored romance between the two. However, now, as the two have been…The post Travis Kelce Gains Over 1 Million Instagram Followers Since Taylor Swift’s First Arrowhead Appearance; and the Number Is Set to Rise appeared first on EssentiallySports.",Travis Kelce,1,1,positive
"Citing Taylor Swift’s Past Feud with Kim Kardashian, Dave Portnoy Echoes ‘Look What You Made Me Do’, Blasting Brittany Mahomes for Skims Campaign","The Barstool Sports founder Dave Portnoy is one of the die-hard supporters of the American singer Taylor Swift and he makes it clear every time a controversy pops up against her. He has once again assembled all the Swifties after the Brittany Mahomes and SKIMS shenanigans. He has brought up the incident from 4 years…The post Citing Taylor Swift’s Past Feud with Kim Kardashian, Dave Portnoy Echoes ‘Look What You Made Me Do’, Blasting Brittany Mahomes for Skims Campaign appeared first on EssentiallySports.",Controversy,3,3,negative
“Are You in Love?”: Travis Kelce Keeps Everyone ‘Interested’ With His Latest Comments on Relationship Status With Rumored GF Taylor Swift,"Taylor Swift‘s initial presence at the Chiefs vs Bears clash at Arrowhead brought unimaginable limelight to TE Travis Kelce. The entry of the pop icon has since turned Travis Kelce and his personal life into one of the foremost interests of Swifties and Hollywood. And it refuses to quiet down even 4,731 miles away from…The post “Are You in Love?”: Travis Kelce Keeps Everyone ‘Interested’ With His Latest Comments on Relationship Status With Rumored GF Taylor Swift appeared first on EssentiallySports.",Travis Kelce,1,1,neutral
Olivia Dunne Joins Taylor Swift in Asking “Is It Over Now” in Cryptic Update,"American sensation Olivia Dunne has adopted a fresh role in her life. It’s oddly unrelated to her previously known roles as an influencer, an LSU gymnast, a member of the US Team, or even Paul Skenes’ girlfriend. The LSU senior recently adopted the role of a dog mom for a beloved furry baby named Roux.…The post Olivia Dunne Joins Taylor Swift in Asking “Is It Over Now” in Cryptic Update appeared first on EssentiallySports.",Collaboration,4,3,neutral
Travis Scott ‘Overpowers’ Taylor Swift Despite $4.1 Billion Prospect as 7x NBA Champ Doubles Down on 1 Missing Piece,"It’s common for music artists to name-drop Robert Horry in their songs. This is because he signifies winning and has won 7 championships in his career. Horry is unbiased and listens to all genres of music. Although this has also created some trouble in his life, he constantly goes to music concerts with his friends…The post Travis Scott ‘Overpowers’ Taylor Swift Despite $4.1 Billion Prospect as 7x NBA Champ Doubles Down on 1 Missing Piece appeared first on EssentiallySports.",Concert/Song,5,6,neutral
Couple's viral 'Taylor Swift Jar' has wife paying a quarter whenever she mentions the star,"A Maryland realtor and her husband went viral after a ""Taylor Swift Jar"" was made. If someone mentions Swift or Travis Kelce, a quarter is required to be added to the jar.",Meme/Troll,3,3,neutral
Is Brittany Mahomes the NFL Bestie of Taylor Swift? Patrick Mahomes’ Superwife Hogs Limelight With Her Positive Persona,"Taylor Swift’s social circle is growing with the addition of Kansas City Chiefs fans, specifically the players’ partners. Amidst her romantic rumors with Chiefs tight end Travis Kelce, Swift has forged connections with key members of the Chiefs’ extended family. She has formed close bonds with Brittany Mahomes, the wife of star quarterback Patrick Mahomes,…The post Is Brittany Mahomes the NFL Bestie of Taylor Swift? Patrick Mahomes’ Superwife Hogs Limelight With Her Positive Persona appeared first on EssentiallySports.",Travis Kelce,1,2,neutral
Billionaire Mastermind Magic Johnson Plans to Leverage Taylor Swift’s Fame but With a Catch: “I Want the Money…”,"Money is not the priority for two newly minted billionaires. Magic Johnson is enjoying his latest promotion, but there are things he values more. The feeling of winning, for example. The Los Angeles Lakers icon is channeling his championship mentality in the Washington Commanders locker room. He’s encouraging his players to do whatever they can…The post Billionaire Mastermind Magic Johnson Plans to Leverage Taylor Swift’s Fame but With a Catch: “I Want the Money…” appeared first on EssentiallySports.",Collaboration,4,3,neutral
"Taylor Swift’s dad gets apology from Travis Kelce; Will Smith, Jada Pinkett Smith deny cheating claims","The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.",Travis Kelce,1,1,neutral
Taylor Swift runs to kiss Travis Kelce after he attends her second Eras show in Argentina,Taylor Swift and Travis Kelce shared a kiss after the singer rushed into the NFL star's arms following her second Eras tour concert in Argentina.,Travis Kelce,1,1,neutral
Taylor Swift and Travis Kelce's Parents Expected to Meet,"Taylor Swift and Travis Kelce are about to have their own real-life version of ""Meet the Fockers"" play out on Monday Night Football ... where their parents will come together! Sources confirmed to TMZ ... the pop icon and NFL athlete are hoping to…",Travis Kelce,1,1,neutral
Andy Reid Had a Very Wholesome Take on Travis Kelce’s Relationship With Taylor Swift,The coach is happy for his star player.,Travis Kelce,1,1,positive
Taylor Swift Tells Argentina Audience Not to Throw Objects Onstage During Concert,"Taylor Swift is the latest performer to chastise audience members for throwing crap onstage during a show ... but her warning was sweetly laced. The pop star was doing her thing Sunday night in Buenos Aires, when she stopped singing after fans…",Concert/Song,5,5,neutral
Philadelphia radio station says it won't play Taylor Swift songs ahead of Eagles-Chiefs Super Bowl rematch,"The Kansas City Chiefs host the Philadelphia Eagles Monday night, and a Philly radio station is banning Taylor Swift songs until after the game.",NFL Game,2,2,neutral
Chiefs Superfan Predicts Travis Kelce & Taylor Swift’s Marriage After the Couple Expressed Their Love in Front of the Crowd,"Things cannot possibly get better for Travis Kelce. On one hand, when it comes to the professional realm, his team, the Kansas City Chiefs, is at the top of not just the AFC West leaderboard, but of the conference as well. On the other hand, his relationship with the billionaire singer-songwriter is getting “more serious…The post Chiefs Superfan Predicts Travis Kelce & Taylor Swift’s Marriage After the Couple Expressed Their Love in Front of the Crowd appeared first on EssentiallySports.",Travis Kelce,1,2,positive
